[2026-03-18T02:21:11.426Z] GET /api/counter - IP: ::1 - UA: curl/8.5.0
[2026-03-18T02:21:40.470Z] GET /api/posts - IP: ::1 - UA: curl/8.5.0
[2026-03-18T02:21:40.481Z] GET /api/blog - IP: ::1 - UA: curl/8.5.0
[2026-03-18T02:24:22.951Z] POST /api/counter/increment - IP: ::1 - UA: curl/8.5.0
[2026-03-18T04:47:39.205Z] GET / - IP: ::1 - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36
[2026-03-18T04:47:39.655Z] GET /js/sidebar.js - IP: ::1 - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36
[2026-03-18T04:47:39.693Z] GET /css/style.css - IP: ::1 - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36
[2026-03-18T04:47:39.697Z] GET /js/top.js - IP: ::1 - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36
[2026-03-18T04:47:39.812Z] GET /sidebar.html - IP: ::1 - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36
[2026-03-18T04:47:40.016Z] GET /api/csrf-token - IP: ::1 - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36
[2026-03-18T04:47:40.071Z] GET /api/news - IP: ::1 - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36
[2026-03-18T04:47:40.072Z] GET /api/statuses - IP: ::1 - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36
[2026-03-18T04:47:40.080Z] POST /api/counter/increment - IP: ::1 - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36
[2026-03-18T04:47:40.082Z] GET /favicon.ico - IP: ::1 - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36
[2026-03-18T04:47:40.083Z] GET /api/claps - IP: ::1 - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36
